Cod. Reg;Regione / Region;Cod. Prov.;Provincia / Province;Comune / Municipality;Cod. Istat;flag;Arrivi / Arrivals;;;;;;;;;;Presenze / Nights spent;;;;;;;;
;;;;;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;
;;;;;;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals
 010 ;PIEMONTE;001;TORINO;Torre Pellice;001275;; 4.347 ; 2.066 ; 6.413 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 24.256 ; 12.625 ; 36.881 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Traversella;001278;; 443 ; 354 ; 797 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 991 ; 946 ; 1.937 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Usseglio;001282;; 2.634 ; 637 ; 3.271 ; 497 ; 129 ; 626 ; 2.137 ; 508 ; 2.645 ;; 7.515 ; 693 ; 8.208 ; 1.035 ; 151 ; 1.186 ; 6.480 ; 542 ; 7.022 
 010 ;PIEMONTE;001;TORINO;Val della Torre;001284;(a); 12.460 ; 8 ; 12.468 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 27.699 ; 15 ; 27.714 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Venaria Reale;001292;; 10.926 ; 3.298 ; 14.224 ; 8.736 ; 2.728 ; 11.464 ; 2.190 ; 570 ; 2.760 ;; 18.731 ; 7.250 ; 25.981 ; 14.708 ; 4.679 ; 19.387 ; 4.023 ; 2.571 ; 6.594 
 010 ;PIEMONTE;001;TORINO;Vigone;001299;; 593 ; 114 ; 707 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 5.133 ; 291 ; 5.424 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Villar Pellice;001306;; 10.483 ; 576 ; 11.059 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 42.691 ; 5.042 ; 47.733 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Vinovo;001309;; 588 ; 56 ; 644 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.654 ; 497 ; 2.151 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Viù;001313;; 1.246 ; 68 ; 1.314 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 7.819 ; 136 ; 7.955 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Volpiano;001314;; 9.149 ; 774 ; 9.923 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 20.679 ; 2.189 ; 22.868 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Altri comuni della Provincia di TORINO; ;; 239.996 ; 35.720 ; 275.716 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 581.993 ; 77.783 ; 659.776 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;; ;; 1.760.800 ; 550.148 ; 2.310.948 ; 1.452.232 ; 487.840 ; 1.940.072 ; 308.568 ; 62.308 ; 370.876 ;; 4.994.884 ; 1.818.802 ; 6.813.686 ; 3.332.877 ; 1.327.454 ; 4.660.331 ; 1.662.007 ; 491.348 ; 2.153.355 
